68 db 54 9b a6 b7 ,安美南229,13,-54,86,infrastructure
68 db 54 9b a6 b8 ,安美南229-5G,149,-66,78,infrastructure
74 7d 24 7a fb a8 ,西邮都市丽人,8,-64,80,infrastructure
d8 c8 e9 c7 9a 98 ,女大学生夜聊会所,2,-52,87,infrastructure
98 bb 99 2c d9 a6 ,荷花女团_5.0G,153,-69,70,infrastructure
f0 b4 29 72 4c a2 ,哈哈怪,12,-39,94,infrastructure
64 09 80 54 c9 86 ,PandoraBox-2.4G-54C986,7,-39,94,infrastructure
00 6b 8e f8 0c 58 ,kllj,4,-49,88,infrastructure
2c b2 1a 08 e0 f6 ,230的超级WIFI,4,-54,86,infrastructure
e8 4e 06 4b 9c 2f ,228富婆组,2,-41,93,infrastructure
f0 b4 29 72 4c a3 ,噫！ 水晶甜甜圈,149,-42,92,infrastructure
64 09 80 54 c9 87 ,PandoraBox-5G-54C987,149,-60,82,infrastructure
2a d0 ea d3 b0 1c ,DIRECT-SQYKKRYKKRmsMH,149,-80,38,infrastructure
1c ab 34 f3 2d 81 ,WeNet-免费用,214748485,-73,60,infrastructure
1c ab 34 f3 2d 80 ,WeNet,214748485,-73,60,infrastructure
d8 c8 e9 06 77 b8 ,是谁没有男朋友-2.4G,13,-75,53,infrastructure
74 7d 24 38 c7 62 ,李琪琪粉丝后援会,12,-63,81,infrastructure
cc 81 da 16 74 f0 ,我不是铁憨憨,9,-80,38,infrastructure
d8 c8 e9 34 bc 00 ,睡觉联盟！,12,-57,84,infrastructure
2c b2 1a 08 e0 f7 ,230的超级WIFI_5G,214748486,-80,38,infrastructure
98 bb 99 2c d9 a0 ,荷花女团_2.4G,13,-60,82,infrastructure
1c ab 34 f3 33 81 ,WeNet-免费用,214748491,-81,35,infrastructure
1c ab 34 f3 33 80 ,WeNet,214748491,-80,38,infrastructure
00 6b 8e f8 0c 60 ,kllj_5g,214748491,-78,43,infrastructure
66 91 7c e1 d0 e9 ,AP1,149,-34,97,infrastructure
e8 4e 06 4b 9c 21 ,228富婆组_5G,214748491,-75,53,infrastructure

